,,,,,,,HD01,SUBHD0201,SUBHD0202,SUBHD0203,SUBHD0204,SUBHD0205,HD03,SUBHD0401,SUBHD0402
GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,Total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Percent of total population,Median age (years),Males per 100 females,Males per 100 females
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,,Under 18 years,18 to 24 years,25 to 44 years,45 to 64 years,65 years and over,,All ages,18 years and over
0400000US29,29,Missouri,8710000US2963902,2963902,Missouri - ZCTA 63902,ZCTA 63902,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US29,29,Missouri,8710000US2964102,2964102,Missouri - ZCTA 64102,ZCTA 64102,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US32,32,Nevada,8710000US3289702,3289702,Nevada - ZCTA 89702,ZCTA 89702,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US34,34,New Jersey,8710000US3407495,3407495,New Jersey - ZCTA 07495,ZCTA 07495,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610020,3610020,New York - ZCTA 10020,ZCTA 10020,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610110,3610110,New York - ZCTA 10110,ZCTA 10110,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610111,3610111,New York - ZCTA 10111,ZCTA 10111,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610112,3610112,New York - ZCTA 10112,ZCTA 10112,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610115,3610115,New York - ZCTA 10115,ZCTA 10115,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
0400000US36,36,New York,8710000US3610152,3610152,New York - ZCTA 10152,ZCTA 10152,,$(X),$(X),$(X),$(X),$(X),,$(X),$(X)
